,cross_val_acc,training_acc,test_acc,train_size,n_neighbors
0,0.5350466987694389,1.0,0.545578231292517,3428,1
1,0.5344994526362847,1.0,0.5387755102040817,3085,1
2,0.5098395395453771,1.0,0.5312925170068027,2742,1
3,0.4955668887171988,1.0,0.5102040816326531,2399,1
4,0.4853691547469426,1.0,0.4897959183673469,2056,1
5,0.45850577408966353,1.0,0.47687074829931975,1714,1
6,0.4412213551343986,1.0,0.454421768707483,1371,1
7,0.431977687349535,1.0,0.42993197278911566,1028,1
8,0.3854133436583906,1.0,0.4020408163265306,685,1
9,0.40217534361395585,1.0,0.37006802721088433,342,1
10,0.47550603389305224,0.7902567094515752,0.49455782312925173,3428,2
11,0.4580193757860524,0.7905996758508914,0.4884353741496599,3085,2
12,0.4526041255331051,0.7778993435448578,0.48095238095238096,2742,2
13,0.44185721727866556,0.7682367653188829,0.47959183673469385,2399,2
14,0.4377757772582297,0.7616731517509727,0.4673469387755102,2056,2
15,0.41424958440369936,0.7432905484247374,0.4414965986394558,1714,2
16,0.4192819097166923,0.7388767323121809,0.4204081632653061,1371,2
17,0.39562242312499646,0.7276264591439688,0.4061224489795918,1028,2
18,0.3594718183169157,0.6948905109489051,0.38231292517006804,685,2
19,0.41261183098859383,0.7309941520467836,0.37755102040816324,342,2
20,0.4568500343416019,0.7392065344224037,0.4741496598639456,3428,3
21,0.44730825244415906,0.7273905996758508,0.4639455782312925,3085,3
22,0.4405401751237166,0.711524434719183,0.4523809523809524,2742,3
23,0.43140378963871606,0.7082117548978741,0.44421768707482995,2399,3
24,0.42414785249937986,0.6979571984435797,0.4387755102040816,2056,3
25,0.3990866863817655,0.6837806301050176,0.4197278911564626,1714,3
26,0.4032512254251384,0.6797957695113056,0.4020408163265306,1371,3
27,0.38878139145123186,0.6702334630350194,0.36802721088435375,1028,3
28,0.3392833022615983,0.6598540145985401,0.3707482993197279,685,3
29,0.39242995937990044,0.7076023391812866,0.3693877551020408,342,3
30,0.4761058180663369,0.6744457409568262,0.47959183673469385,3428,4
31,0.4508775591876272,0.6693679092382496,0.4782312925170068,3085,4
32,0.4594832618609055,0.662290299051787,0.46598639455782315,2742,4
33,0.4439285213293749,0.6473530637765735,0.463265306122449,2399,4
34,0.43820458659181344,0.6332684824902723,0.463265306122449,2056,4
35,0.427020515297962,0.6271878646441074,0.4421768707482993,1714,4
36,0.4069871352480048,0.6272793581327498,0.4312925170068027,1371,4
37,0.4172711895241489,0.627431906614786,0.39591836734693875,1028,4
38,0.38728085938834567,0.6321167883211679,0.3904761904761905,685,4
39,0.4087668673315455,0.6403508771929824,0.37551020408163266,342,4
40,0.47811087762677734,0.6446907817969662,0.46530612244897956,3428,5
41,0.46675567650088096,0.6450567260940032,0.46190476190476193,3085,5
42,0.46824783522186947,0.6258205689277899,0.45510204081632655,2742,5
43,0.4514113334407396,0.6173405585660692,0.45714285714285713,2399,5
44,0.4425797508934849,0.6230544747081712,0.45374149659863944,2056,5
45,0.42177088850558137,0.6120186697782963,0.42857142857142855,1714,5
46,0.4251105094583355,0.6046681254558717,0.42244897959183675,1371,5
47,0.41530239575144356,0.6235408560311284,0.3952380952380952,1028,5
48,0.3641836981531307,0.6,0.3945578231292517,685,5
49,0.39776649078986137,0.5994152046783626,0.38503401360544215,342,5
50,0.4696934355783077,0.5781796966161027,0.45782312925170066,3428,10
51,0.4693688247592133,0.5779578606158833,0.44761904761904764,3085,10
52,0.4624275431503196,0.5765864332603938,0.4346938775510204,2742,10
53,0.4547419841695784,0.5702375989995832,0.42993197278911566,2399,10
54,0.46300785028665425,0.5695525291828794,0.4238095238095238,2056,10
55,0.42878510248846335,0.5665110851808635,0.41768707482993195,1714,10
56,0.4485808072764595,0.5572574762946754,0.4034013605442177,1371,10
57,0.43470224662967843,0.556420233463035,0.40068027210884355,1028,10
58,0.40619053810417605,0.5167883211678832,0.4013605442176871,685,10
59,0.40658991336327255,0.5175438596491229,0.39319727891156464,342,10
60,0.47961081196801636,0.5347141190198367,0.4306122448979592,3428,20
61,0.4693588301007878,0.5260940032414911,0.4306122448979592,3085,20
62,0.4715086158433267,0.5324580598103574,0.42925170068027213,2742,20
63,0.46176392207246497,0.5281367236348479,0.4217687074829932,2399,20
64,0.45568115524412356,0.5296692607003891,0.42585034013605444,2056,20
65,0.42532449525140575,0.5035005834305718,0.42448979591836733,1714,20
66,0.43910389127780436,0.5061998541210795,0.42925170068027213,1371,20
67,0.4346711874503949,0.4961089494163424,0.4204081632653061,1028,20
68,0.4334082650243952,0.49635036496350365,0.4163265306122449,685,20
69,0.4130088171418568,0.4649122807017544,0.41156462585034015,342,20
70,0.4711197242768483,0.5245040840140023,0.4380952380952381,3428,30
71,0.4602904684025189,0.5170178282009724,0.4346938775510204,3085,30
72,0.4664369884812537,0.5145878920495989,0.42857142857142855,2742,30
73,0.45765572010553796,0.516048353480617,0.42448979591836733,2399,30
74,0.4512790134641726,0.4985408560311284,0.43741496598639457,2056,30
75,0.4334642837081698,0.48599766627771296,0.4238095238095238,1714,30
76,0.4478874909309692,0.4886943836615609,0.40748299319727893,1371,30
77,0.4405212710603858,0.48735408560311283,0.42517006802721086,1028,30
78,0.43825451028012197,0.47007299270072994,0.4346938775510204,685,30
79,0.4362250375411758,0.45321637426900585,0.40748299319727893,342,30
